id,task_id,task,code,error_type
161,5,Print numbers from 10 to 1 in reverse,"i = 9
while i >= 1:
    print(i)
    i = i - 1",Initialization_Error
277,5,Print numbers from 10 to 1 in reverse,"i = 10
while i <= 1:
    print(i)
    i = i - 1",Condition_Error
444,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
192,4,Calculate sum of numbers from 1 to N,"n = 10
i = 2
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
386,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
    i = i - 1
print(fact)",Update_Error
294,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n - 1:
    fact = fact * i
    i = i + 1
print(fact)",Condition_Error
414,6,Calculate factorial of a number,"n = 5
i = 1
fact = 1
while i <= n:
    fact = fact * i
print(fact)",Infinite_Loop
344,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i * 2
print(total)",Update_Error
258,2,Print even numbers from 2 to 20,"i = 2
while i > 20:
    print(i)
    i = i + 2",Condition_Error
309,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i * 2",Update_Error
150,2,Print even numbers from 2 to 20,"i = 20
while i <= 20:
    print(i)
    i = i + 2",Initialization_Error
131,7,Count digits in a number,"n = 12345
count = 1
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
152,4,Calculate sum of numbers from 1 to N,"n = 10
i = 2
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Initialization_Error
360,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i - 2
print(total)",Update_Error
100,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
    i = i + 1
print(total)",Correct
373,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i - 2",Update_Error
88,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
459,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
331,7,Count digits in a number,"n = 12345
count = 0
while n > 0:
    count = count + 1
    n = n // 2
print(count)",Update_Error
215,7,Count digits in a number,"n = 12345
count = 0
while n < 10:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
467,3,Print odd numbers from 1 to 19,"i = 1
while i <= 19:
    print(i)",Infinite_Loop
122,6,Calculate factorial of a number,"n = 5
i = 2
fact = 1
while i <= n:
    fact = fact * i
    i = i + 1
print(fact)",Initialization_Error
500,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
21,5,Print numbers from 10 to 1 in reverse,"i = 10
while i >= 1:
    print(i)
    i = i - 1",Correct
189,1,Print numbers from 1 to 10,"i = 5
while i <= 10:
    print(i)
    i = i + 1",Initialization_Error
72,8,Reverse a number,"n = 12345
reverse = 0
while n > 0:
    digit = n % 10
    reverse = reverse * 10 + digit
    n = n // 10
print(reverse)",Correct
107,7,Count digits in a number,"n = 12345
count = 1234
while n > 0:
    count = count + 1
    n = n // 10
print(count)",Initialization_Error
271,7,Count digits in a number,"n = 12345
count = 0
while n >= 0:
    count = count + 1
    n = n // 10
print(count)",Condition_Error
349,1,Print numbers from 1 to 10,"i = 1
while i <= 10:
    print(i)
    i = i * 2",Update_Error
436,4,Calculate sum of numbers from 1 to N,"n = 10
i = 1
total = 0
while i <= n:
    total = total + i
print(total)",Infinite_Loop
103,3,Print odd numbers from 1 to 19,"i = 4
while i <= 19:
    print(i)
    i = i + 2",Initialization_Error
